"Time","Temperature 1","Temperature 2","Force"
0,21.7,18.3,4
1,21.7,18.3,4
2,22.2,18.3,4
3,22.2,18.3,3
4,21.7,18.3,3
5,22.2,18.3,3
6,21.7,18.3,4
7,22.2,18.3,4
8,22.2,18.3,4
9,22.2,18.3,4
10,22.2,18.3,2
11,22.2,18.3,3
12,22.2,18.3,4
13,21.7,18.3,3
14,22.2,18.3,3
15,22.2,18.3,3
16,21.7,18.3,3
17,22.2,18.3,3
18,22.2,18.3,2
19,21.7,18.3,3
20,21.7,18.3,3
21,21.7,18.3,2
22,21.7,18.3,4
23,22.2,18.3,2
24,21.7,18.3,3
25,21.7,18.3,3
26,21.7,18.3,3
27,22.2,18.3,4
28,21.7,18.3,3
29,21.7,18.3,4
30,21.7,18.3,3
31,21.7,18.3,3
32,21.7,18.3,2
33,21.7,18.3,3
34,21.7,18.3,3
35,22.2,18.3,3
36,22.2,18.3,3
37,21.7,18.3,3
38,21.7,18.3,3
39,22.2,18.3,3
40,22.2,18.3,4
41,21.7,18.3,4
42,21.7,18.3,3
43,21.7,18.3,3
44,21.7,18.3,4
45,21.7,18.3,3
46,21.7,18.3,3
47,22.2,18.3,3
48,21.7,18.3,3
49,21.7,18.3,3
50,21.7,18.3,3
51,21.7,18.3,2
52,21.7,18.3,4
53,21.7,18.3,3
54,21.7,18.3,3
55,21.7,18.3,2
56,21.7,18.3,3
57,22.2,18.3,3
58,21.7,18.3,3
59,21.7,18.3,3
60,21.7,18.3,4
61,21.7,18.3,3
62,21.7,18.3,3
63,21.7,18.3,2
64,21.7,18.3,3
65,21.7,18.3,3
66,21.7,18.3,3
67,21.7,18.3,3
68,21.7,18.3,3
69,21.7,18.3,3
70,21.7,18.3,3
71,22.2,18.3,3
72,22.2,18.3,3
73,21.7,18.3,3
74,21.7,18.3,3
75,21.7,18.3,4
76,21.7,18.3,3
77,21.7,18.3,4
78,21.7,18.3,3
79,21.7,18.3,4
80,21.7,18.3,4
81,21.7,18.3,3
82,21.7,18.3,4
83,21.7,18.3,3
84,22.2,18.3,3
85,22.2,18.3,2
86,21.7,18.3,3
87,21.7,18.3,3
88,21.7,18.3,3
89,21.7,18.3,4
90,21.7,18.3,2
91,21.7,18.3,3
92,21.7,18.3,2
93,21.7,18.3,2
94,21.7,18.3,4
95,21.7,18.3,2
96,21.7,18.3,4
97,21.7,18.3,2
98,21.7,18.3,4
99,21.7,18.3,3
100,21.7,18.3,3
101,21.7,18.3,4
102,21.7,18.3,2
103,22.2,18.3,4
104,21.7,18.3,3
105,21.7,18.3,3
106,21.7,18.3,4
107,21.7,18.3,3
108,21.7,18.3,4
109,21.7,18.3,2
110,21.7,18.3,3
111,21.7,18.3,3
112,21.7,18.3,4
113,21.7,18.3,4
114,21.7,18.3,3
115,21.7,18.3,4
116,21.7,18.3,3
117,21.7,18.3,3
118,21.7,18.3,3
119,21.7,18.3,2
120,22.2,18.3,3
121,21.7,18.3,3
122,21.7,18.3,3
123,21.7,18.3,4
124,21.7,18.3,3
125,21.7,18.3,4
126,21.7,18.3,3
127,21.7,18.3,4
128,22.2,18.3,3
129,21.7,18.3,4
130,21.7,18.3,4
131,22.2,18.3,4
132,21.7,18.3,3
133,21.7,18.3,3
134,21.7,18.3,2
135,22.2,17.9,3
136,21.7,18.3,4
137,21.7,18.3,3
138,21.7,18.3,3
139,21.7,18.3,4
140,21.7,18.3,3
141,21.7,18.3,3
142,21.7,18.3,3
143,21.7,18.3,3
144,21.7,18.3,3
145,21.7,18.3,3
146,21.7,18.3,4
147,21.7,18.3,3
148,21.7,18.3,3
149,21.7,18.3,3
150,21.7,18.3,3
151,21.7,17.9,2
152,21.7,18.3,4
153,21.7,18.3,3
154,21.7,18.3,3
155,21.7,18.3,4
156,21.7,18.3,2
157,21.7,18.3,3
158,21.7,18.3,3
159,22.2,18.3,3
160,21.7,18.3,4
161,21.7,17.9,4
162,21.7,18.3,3
163,21.7,18.3,4
164,21.7,18.3,4
165,21.7,18.3,3
166,21.7,18.3,3
167,21.7,18.3,3
168,21.7,18.3,3
169,21.7,18.3,4
170,21.7,18.3,3
171,21.7,18.3,4
172,21.7,18.3,3
173,21.7,18.3,3
174,21.7,18.3,3
175,22.2,18.3,3
176,21.7,18.3,3
177,21.7,18.3,3
178,21.7,18.3,3
179,21.7,18.3,3
180,21.7,18.3,3
181,21.7,18.3,3
182,21.7,18.3,4
183,21.7,18.3,4
184,21.7,18.3,3
185,21.7,18.3,3
186,21.7,18.3,3
187,21.7,18.3,3
188,21.7,17.9,3
189,21.7,18.3,2
190,21.7,18.3,4
191,21.7,18.3,4
192,21.7,18.3,2
193,21.7,18.3,4
194,21.7,18.3,3
195,21.7,18.3,3
196,21.7,18.3,3
197,21.7,18.3,3
198,21.7,17.9,4
199,21.7,18.3,4
200,21.7,18.3,3
201,21.7,18.3,1
202,21.7,18.3,1
203,21.7,18.3,1
